Waste_Type,Quantity_kg,Location,CBG_Yield,Revenue,Slurry
Cow Dung,4337,Salem,296.38,19264.7,1640.11
Cow Dung,7767,Coimbatore,558.2,36283.0,2276.69
Poultry Waste,9877,Salem,583.07,37899.55,3061.66
Cow Dung,3804,Madurai,257.85,16760.25,1054.82
Fruit Waste,2101,Trichy,112.7,7325.5,718.83
Vegetable Waste,2646,Madurai,170.18,11061.7,672.82
Vegetable Waste,1858,Chennai,89.42,5812.3,804.53
Vegetable Waste,8739,Madurai,610.49,39681.85,2495.1
Poultry Waste,9775,Madurai,638.08,41475.2,3898.16
Food Waste,9384,Coimbatore,633.0,41145.0,3477.49
Food Waste,7038,Chennai,312.91,20339.15,2447.22
Agricultural Residue,7720,Madurai,547.39,35580.35,2195.4
Fruit Waste,7459,Coimbatore,460.09,29905.85,2580.17
Cow Dung,1903,Madurai,93.99,6109.35,690.17
Fruit Waste,2335,Coimbatore,123.87,8051.55,826.13
Fruit Waste,2296,Coimbatore,143.15,9304.75,720.82
Cow Dung,992,Coimbatore,65.82,4278.3,369.54
Fruit Waste,1247,Chennai,64.95,4221.75,374.23
Agricultural Residue,4145,Salem,331.01,21515.65,1177.9
Vegetable Waste,1028,Coimbatore,44.38,2884.7,387.17
Fruit Waste,9928,Salem,579.61,37674.65,4384.42
Poultry Waste,2473,Chennai,113.07,7349.55,760.35
Cow Dung,5756,Coimbatore,375.48,24406.2,1929.95
Fruit Waste,8107,Trichy,476.73,30987.45,3633.62
Food Waste,8793,Chennai,378.46,24599.9,3355.11
Food Waste,6145,Salem,258.12,16777.8,2043.23
Poultry Waste,6713,Salem,368.89,23977.85,2515.46
Food Waste,4459,Coimbatore,338.55,22005.75,1430.76
Agricultural Residue,8554,Trichy,648.99,42184.35,2943.18
Food Waste,1303,Salem,97.33,6326.45,538.78
Food Waste,9647,Madurai,512.0,33280.0,3061.68
Vegetable Waste,3054,Trichy,142.06,9233.9,1260.38
Fruit Waste,4340,Salem,272.03,17681.95,1944.04
Vegetable Waste,6566,Trichy,489.86,31840.9,2331.83
Poultry Waste,9087,Salem,398.22,25884.3,2528.43
Cow Dung,4059,Coimbatore,240.41,15626.65,1677.5
Vegetable Waste,3435,Trichy,244.79,15911.35,1483.71
Food Waste,5640,Trichy,288.61,18759.65,2390.27
Fruit Waste,3749,Chennai,199.03,12936.95,1110.76
Fruit Waste,9761,Trichy,624.16,40570.4,4325.93
Agricultural Residue,744,Salem,59.2,3848.0,330.9
Poultry Waste,5389,Chennai,354.19,23022.35,1828.71
Poultry Waste,4374,Chennai,342.34,22252.1,1308.96
Agricultural Residue,9800,Chennai,592.9,38538.5,3459.87
Cow Dung,4313,Madurai,180.06,11703.9,1865.7
Fruit Waste,8627,Madurai,648.07,42124.55,3608.69
Cow Dung,4623,Madurai,316.91,20599.15,1261.47
Food Waste,6136,Chennai,378.14,24579.1,2679.45
Poultry Waste,563,Salem,24.51,1593.15,252.59
Vegetable Waste,6820,Chennai,460.21,29913.65,1910.83
Cow Dung,8899,Chennai,412.61,26819.65,2804.28
Agricultural Residue,6671,Chennai,462.02,30031.3,2722.69
Cow Dung,1448,Coimbatore,73.34,4767.1,540.14
Poultry Waste,2591,Madurai,162.46,10559.9,894.06
Cow Dung,3584,Chennai,145.95,9486.75,1280.62
Fruit Waste,4226,Salem,299.63,19475.95,1177.68
Agricultural Residue,4902,Trichy,331.01,21515.65,2054.76
Poultry Waste,3359,Chennai,145.95,9486.75,1422.37
Vegetable Waste,4974,Chennai,382.97,24893.05,1481.07
Vegetable Waste,4078,Madurai,270.61,17589.65,1822.51
Vegetable Waste,1774,Trichy,112.74,7328.1,483.06
Poultry Waste,6599,Coimbatore,407.84,26509.6,1962.61
Cow Dung,7160,Coimbatore,345.84,22479.6,2249.17
Fruit Waste,5423,Trichy,385.84,25079.6,2059.09
Fruit Waste,6947,Chennai,489.71,31831.15,2484.52
Cow Dung,2881,Coimbatore,121.15,7874.75,738.85
Food Waste,5717,Madurai,265.46,17254.9,1660.17
Poultry Waste,3223,Chennai,220.85,14355.25,1279.25
Poultry Waste,7108,Coimbatore,505.79,32876.35,2962.7
Agricultural Residue,6683,Trichy,418.23,27184.95,2900.89
Food Waste,7733,Salem,598.49,38901.85,2344.15
Food Waste,765,Coimbatore,32.67,2123.55,223.93
Fruit Waste,1464,Coimbatore,73.24,4760.6,626.06
Agricultural Residue,2171,Chennai,105.51,6858.15,630.4
Fruit Waste,7306,Trichy,407.69,26499.85,2167.57
Agricultural Residue,9845,Chennai,595.19,38687.35,3837.57
Agricultural Residue,2870,Chennai,153.16,9955.4,1097.6
Cow Dung,3096,Trichy,245.72,15971.8,840.5
